Baseline 100%T,,Baseline 0%T,,Stock_nm,Stock_abs,2x_nm,2x_abs,4x_nm,Fluro_UV_4x_abs,6x_nm,6x_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
446.0090637,86.19329071,446.0090637,0.008320505731,446.0090637,0.7134532332,446.0090637,0.3359213769,446.0090637,0.1656771898,446.0090637,0.1190563887,
445.0124512,86.11932373,445.0124512,0.003833767958,445.0124512,0.6719593406,445.0124512,0.3145194948,445.0124512,0.1558846682,445.0124512,0.1117530987,
444.0157471,86.11669922,444.0157471,-0.00437101163,444.0157471,0.6350423098,444.0157471,0.297573626,444.0157471,0.1458280236,444.0157471,0.1072922125,
443.0187988,86.01611328,443.0187988,0.01294386759,443.0187988,0.5970118046,443.0187988,0.2796328366,443.0187988,0.1375687718,443.0187988,0.1008585244,
441.9833069,86.0161972,441.9833069,0,441.9833069,0.5590005517,441.9833069,0.2606126964,441.9833069,0.1291975379,441.9833069,0.09536413103,
440.9859619,86.0059433,440.9859619,0.01214230806,440.9859619,0.5232374668,440.9859619,0.2443899065,440.9859619,0.1211925,440.9859619,0.08987448364,
439.9885254,85.95185852,439.9885254,-0.01223890297,439.9885254,0.4931415319,439.9885254,0.2316806167,439.9885254,0.1141517013,439.9885254,0.08509419113,
438.9908447,85.89769745,438.9908447,0.004292213824,438.9908447,0.4700311124,438.9908447,0.2199897021,438.9908447,0.1082382053,438.9908447,0.08135929704,
437.992981,85.8815918,437.992981,-0.004434294999,437.992981,0.4439723492,437.992981,0.2077763081,437.992981,0.1023555323,437.992981,0.07717289031,
436.9950256,85.85285187,436.9950256,0.002422891557,436.9950256,0.421030581,436.9950256,0.1976593435,436.9950256,0.0963280946,436.9950256,0.07413423061,
435.9967957,85.89642334,435.9967957,-0.009709916078,435.9967957,0.3978622854,435.9967957,0.1866418868,435.9967957,0.0917654112,435.9967957,0.07043159008,
434.9984436,85.87403107,434.9984436,0,434.9984436,0.3781326711,434.9984436,0.1769126654,434.9984436,0.08698160946,434.9984436,0.06779809296,
