Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
561.992981,92.56168365,561.992981,0.04117485508,561.992981,0.0002704890503,
560.9831543,92.61838531,560.9831543,0.005559725687,560.9831543,-2.790417784E-005,
560.0105591,92.63668823,560.0105591,-0.03170493245,560.0105591,5.161968875E-005,
559.0003662,92.70423889,559.0003662,0.007999147289,559.0003662,-0.000141159122,
557.9898071,92.78407288,557.9898071,0.01934877597,557.9898071,0.0001793232368,
557.0164795,92.82228088,557.0164795,-0.01036403701,557.0164795,0.0004056413018,
556.0054321,92.8890152,556.0054321,-0.01277400274,556.0054321,0.0001219141341,
554.9942017,92.90759277,554.9942017,0,554.9942017,0.000257097854,
553.9827271,92.88871765,553.9827271,0.0333301574,553.9827271,0.0001768371585,
553.0084839,93.0226593,553.0084839,0.01306506433,553.0084839,0.0003452748351,
551.99646,93.00165558,551.99646,-0.01244813297,551.99646,0.0002038998646,
550.9842529,93.04105377,550.9842529,-0.01333096251,550.9842529,0.0003339797258,
550.0092773,93.06736755,550.0092773,0.008866034448,550.0092773,2.127878724E-005,
548.9966431,93.14144135,548.9966431,0.01656863652,548.9966431,4.400616831E-007,
547.9837036,93.17031097,547.9837036,0.02525799163,547.9837036,7.11663597E-005,
547.0081177,93.23270416,547.0081177,0.01872250065,547.0081177,0.0002256030275,
545.9946289,93.25091553,545.9946289,0.02079743333,545.9946289,0.000113964983,
545.0185547,93.24725342,545.0185547,0.003083659569,545.0185547,-2.712764763E-005,
544.0046997,93.34300995,544.0046997,-0.006043026224,544.0046997,0.0001123596376,
542.9906006,93.3560257,542.9906006,0.01443070825,542.9906006,0.0002456237271,
542.013855,93.36747742,542.013855,0.01623903774,542.013855,9.50895701E-005,
540.9992065,93.36341858,540.9992065,0.01384274662,540.9992065,-6.657360791E-005,
539.984436,93.33020782,539.984436,0.01236374117,539.984436,5.04805721E-005,
539.006897,93.32778168,539.006897,0,539.006897,-6.730346627E-007,
537.9916992,93.33953094,537.9916992,0.008305878378,537.9916992,0.0001234159427,
537.0137939,93.34745789,537.0137939,0.002507837024,537.0137939,7.360004383E-005,
535.9980469,93.32576752,535.9980469,0,535.9980469,5.021906873E-006,
534.9819946,93.27276611,534.9819946,0.009361981414,534.9819946,0.0002332175209,
534.003418,93.23065948,534.003418,0.01426262129,534.003418,5.459693784E-005,
532.9869995,93.25455475,532.9869995,0.008106026798,532.9869995,0.0002620191372,
532.0079956,93.1509552,532.0079956,0,532.0079956,0.0001549810549,
530.9911499,93.05734253,530.9911499,0.009378663264,530.9911499,-4.576397987E-005,
