T1,,
Time (min),Abs,
0.7941666245,0.07528916746,
0.7958333492,0.07509972155,
0.7975000143,0.07465206087,
0.7991666794,0.07448360324,
0.8008333445,0.07401745021,
0.8024999499,0.07381907105,
0.8041666746,0.07336221635,
0.8058333397,0.07293856144,
0.8075000048,0.07280018181,
0.8091666698,0.07232439518,
0.8108333349,0.0721013993,
0.8125,0.07154231519,
0.8141666651,0.07139983028,
0.8158333302,0.07121887058,
0.8174999952,0.07068635523,
0.8191666603,0.0703246817,
0.8208333254,0.0700416863,
0.8224999905,0.06968049705,
0.8241667151,0.06949393451,
0.8258333206,0.0689702034,
0.8274999857,0.06880520284,
0.8291666508,0.06840085238,
0.8308333158,0.06816865504,
0.8325000405,0.06783951819,
0.834166646,0.06744513661,
0.8358333111,0.06718812138,
0.8375000358,0.06677217036,
0.8391666412,0.06663227081,
0.8408333659,0.06629706174,
0.8424999714,0.0659853369,
0.8441666365,0.06581671536,
0.8458333611,0.06535377353,
0.8474999666,0.06497787684,
0.8491666913,0.06458307803,
0.8508333564,0.06437518448,
0.8524999619,0.06404104829,
0.8541666865,0.06384897977,
0.855833292,0.06364740431,
0.8575000167,0.06317719072,
0.8591666818,0.06290369481,
0.8608332872,0.0626558736,
0.8625000119,0.06253734976,
0.864166677,0.06192009524,
0.8658333421,0.06171535328,
0.8675000072,0.06161519885,
0.8691666126,0.06128398329,
0.8708333373,0.06086495146,
0.8725000024,0.06070687622,
0.8741666675,0.06054281443,
0.8758333325,0.06014735997,
0.8774999976,0.05980897322,
0.8791666627,0.05979649723,
0.8808333278,0.05909558758,
0.8825000525,0.05909229442,
0.8841666579,0.05877828971,
0.885833323,0.0583040528,
0.8874999881,0.05815646425,
0.8891666532,0.05803425238,
0.8908333778,0.05776039511,
0.8924999833,0.05741390586,
0.8941666484,0.0572630167,
0.8958333731,0.05681609735,
0.8974999785,0.05657284707,
0.8991667032,0.05640816316,
0.9008333087,0.05601739511,
0.9024999738,0.05614993721,
0.9041666985,0.05569695309,
0.9058333039,0.05547388643,
0.9075000286,0.05509177223,
0.9091666937,0.05501904711,
0.9108332992,0.05473856628,
0.9125000238,0.05425237864,
0.9141666293,0.05433803424,
0.915833354,0.05386237428,
0.9175000191,0.05367577821,
0.9191666245,0.05356460065,
0.9208333492,0.0532043539,
0.9225000143,0.05301692709,
0.9241666794,0.05286975205,
0.9258333445,0.05244228244,
0.9274999499,0.05206799135,
0.9291666746,0.05210514367,
0.9308333397,0.05181184039,
0.9325000048,0.05156825483,
0.9341666698,0.05127615854,
0.9358333349,0.05111676082,
0.9375,0.05081955343,
0.9391666651,0.05074579269,
0.9408333302,0.0503904596,
0.9424999952,0.05054084212,
0.9441666603,0.05026242509,
0.9458333254,0.04980252683,
0.9474999905,0.04948626086,
0.9491667151,0.04942464456,
0.9508333206,0.04935007915,
0.9524999857,0.04898215085,
0.9541666508,0.0488040708,
0.9558333158,0.04844687879,
0.9575000405,0.04849996045,
0.959166646,0.04824613407,
0.9608333111,0.0478756167,
0.9625000358,0.04761048406,
0.9641666412,0.04751707986,
0.9658333659,0.04712156206,
0.9674999714,0.04698303342,
0.9691666365,0.0467584841,
0.9708333611,0.04674828053,
0.9724999666,0.04653883725,
0.9741666913,0.04629418999,
0.9758333564,0.0459511131,
0.9774999619,0.04577602446,
0.9791666865,0.04546296224,
0.980833292,0.04538608342,
0.9825000167,0.04537573829,
0.9841666818,0.04519352689,
0.9858332872,0.04487887397,
0.9875000119,0.04456748813,
0.989166677,0.04464055225,
0.9908333421,0.04431061819,
0.9925000072,0.04402496293,
0.9941666126,0.04394369572,
0.9958333373,0.04366186261,
0.9975000024,0.04362096265,
0.9991666675,0.0433258079,
1.000833392,0.04326935112,
1.002500057,0.04309365153,
1.004166722,0.04266421124,
1.005833387,0.04271556437,
1.007500052,0.04241885245,
1.009166718,0.04241662845,
1.010833383,0.04237604141,
1.012500048,0.04189562425,
1.014166713,0.04170751572,
1.015833378,0.04151675478,
1.017500043,0.04149254411,
1.019166708,0.04115215689,
