Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
3100;1.317891;1.164509;1.761279;1.554737;1.301372
3110;1.486978;1.640364;1.356263;1.406204;1.708402
3120;1.582015;1.542618;1.336843;1.410795;1.471566
3130;1.151938;1.187252;1.307355;1.413183;1.534015
3140;1.926433;1.383900;1.178098;1.465850;1.569341
3150;1.546718;1.778856;1.676506;1.501536;1.361109
3160;1.450620;1.503119;1.106394;1.381900;1.417649
3170;1.366158;1.406424;1.577403;1.381303;1.498588
3180;1.542441;1.289686;1.613341;1.423128;1.440978
3190;1.526660;1.449355;1.425858;1.482513;1.461570
3200;1.381602;1.278734;1.519689;1.466112;1.145125
3210;1.380917;1.307391;1.331020;1.559669;1.688043
3220;1.651126;1.511379;1.520075;1.601469;1.784851
3230;1.314169;1.598832;1.413737;1.285952;1.376367
3240;1.326612;1.550680;1.421208;1.639003;1.342554
3250;1.759137;1.422321;1.313571;1.438337;1.579343
3260;1.462589;1.260640;1.248541;1.241355;1.151558
3270;1.455831;1.009012;1.203403;1.165471;1.322556
3280;1.223820;1.328052;1.322395;1.404277;1.320699
3290;1.492054;1.214710;1.468622;1.351058;1.288452
3300;1.377621;1.439030;1.131519;1.340872;1.542671
3310;0.926511;1.188625;1.233716;1.317824;1.472334
3320;1.310604;1.398816;1.300699;1.263163;1.485664
3330;1.524658;0.989365;1.448313;1.273525;1.706064
3340;1.221900;1.169447;1.355444;1.172059;1.467817
3350;1.382025;0.989232;1.177686;1.171041;1.397709
3360;1.296367;1.195543;1.233144;1.290203;1.204901
3370;1.154644;0.985538;1.174045;1.259645;1.159293
3380;0.916439;1.198475;1.301565;1.270831;1.184859
3390;1.397985;1.170765;1.174484;1.140835;0.956916
3400;1.069862;1.276327;1.588587;1.437044;1.325815
3410;1.081738;1.227883;1.245669;1.048852;1.356141
3420;1.353010;1.178818;1.292463;0.964458;1.131948
3430;1.301393;1.084601;0.881844;1.203757;1.337243
3440;1.251122;1.145154;1.376927;1.276714;1.194062
3450;1.229923;1.361535;1.267391;1.370061;1.120262
3460;1.131226;1.127949;1.512220;1.278297;1.259563
3470;1.458041;1.215369;1.032674;1.095434;0.982006
3480;1.253149;1.145920;0.945988;1.223888;1.306011
3490;1.171758;1.253721;1.407652;1.166386;1.148578
3500;1.245586;1.151712;0.874425;1.162288;1.568667
3510;1.144710;1.057465;1.223779;1.362935;1.083153
3520;1.409336;1.181757;1.150671;0.969222;1.698258
3530;1.093515;1.086365;1.147413;1.329052;0.989987
3540;1.218680;1.090049;1.014371;1.162129;1.188662
3550;1.245964;0.998496;1.288350;0.994606;1.005002
3560;0.795398;1.147234;0.872897;1.358498;1.013259
3570;0.997499;0.972389;1.216395;1.217167;1.149255
3580;1.240179;1.229607;1.528742;1.410199;1.110061
3590;0.868144;0.876788;1.256372;1.053475;1.130556
3600;0.958879;1.156157;0.934991;1.151785;0.848949
3610;1.309210;1.199705;0.975199;0.809121;0.976040
3620;0.736135;0.754326;1.036008;1.402820;0.980347
3630;1.071677;1.055500;0.826831;1.053143;1.193060
3640;1.070188;1.125069;1.017519;1.067411;1.159630
3650;0.981452;1.028164;1.157404;1.260909;0.777059
3660;1.085378;0.961930;0.918161;1.040333;1.051204
3670;1.074904;1.014477;1.129779;1.172184;1.138240
3680;1.020648;1.259611;1.362315;0.903866;0.981371
3690;1.036044;0.933321;0.976096;1.172109;0.931561
3700;0.897457;1.130160;1.004909;0.957846;1.078684
3710;1.089589;0.809325;1.264437;0.738163;1.419975
3720;1.175594;0.952051;1.028886;0.780358;1.302643
3730;1.138939;1.204925;0.900065;1.200940;0.935608
3740;0.846627;1.110963;0.818412;0.954512;1.085481
3750;0.926636;0.874090;0.829953;0.957531;1.091993
3760;0.942236;0.902877;0.986281;0.974627;0.987900
3770;1.232026;1.090641;1.387653;0.967869;0.910137
3780;0.893733;0.726613;0.868839;1.365022;1.026611
3790;0.903248;0.929072;0.843552;0.816817;0.875610
3800;0.939622;0.857643;0.872990;1.129839;1.194220
3810;1.086103;0.901939;1.373525;0.629469;1.158203
3820;1.228039;1.254938;1.279490;1.051383;0.925514
3830;1.413494;0.777714;0.986866;1.330894;1.269376
3840;0.722813;1.066812;0.796007;1.393526;0.738267
3850;0.942114;0.787013;1.006878;0.940302;1.475063
3860;0.966860;1.142170;1.196887;0.948154;1.069174
3870;0.930566;1.219750;1.166076;0.959844;1.226673
3880;1.163515;1.190514;0.754057;1.201141;0.923266
3890;0.671750;0.532990;0.867612;0.893632;1.033196
3900;1.085761;0.973754;0.804780;0.677854;1.372325
3910;0.932025;1.160312;0.965866;0.938684;1.100547
3920;1.016925;1.206127;1.210410;1.017671;0.945113
3930;0.767284;0.757680;1.018353;0.726944;0.967957
3940;1.228792;0.666452;0.606583;0.976541;0.718394
3950;0.874779;0.936396;1.034953;0.904399;0.942799
3960;0.870699;0.761527;0.987954;1.233470;0.692513
3970;0.776856;0.909476;0.952001;1.132419;1.108326
3980;1.003633;0.686930;0.958073;1.218852;0.940464
3990;0.896629;1.195763;0.759763;0.709104;0.632774
4000;0.912544;0.964085;0.966989;0.955180;0.899200
4010;0.992617;1.215418;0.929396;0.798200;0.957873
4020;0.904252;0.539009;1.256155;0.931157;0.929741
4030;0.788014;0.778089;0.800251;0.833607;0.637138
4040;0.889349;0.887623;0.850272;0.756403;1.293703
4050;0.947205;0.911460;0.635032;0.993441;0.829758
4060;0.971495;0.777330;0.825165;1.025140;0.878984
4070;0.880867;0.661031;0.875052;0.952284;1.088048
4080;1.001997;0.820362;0.855893;0.890329;0.893700
4090;0.895948;0.878045;0.949526;0.885300;0.880588
4100;0.788316;0.774914;0.716624;1.177517;0.610456
4110;1.062543;0.729248;1.036295;0.828182;0.836013
4120;0.923470;0.940176;0.852321;0.830766;0.770024
4130;0.898752;0.878004;0.978643;0.936748;1.002811
4140;0.726796;0.921438;0.759836;1.085463;0.775681
4150;1.020047;0.947679;1.054630;0.767405;0.981385
4160;0.935768;1.248673;0.766024;0.720531;0.723215
4170;0.645959;0.545663;0.996073;0.671851;0.973844
4180;0.809016;0.836630;0.944798;0.891490;0.738332
4190;0.778113;1.093712;0.646413;0.809797;0.828843
4200;0.712956;0.870318;0.800857;0.942687;0.790975
4210;0.731596;0.770127;0.509736;0.907271;1.038814
4220;1.032503;1.018735;0.806402;0.917881;0.737443
4230;0.755174;0.865530;0.842277;0.697004;0.802307
4240;0.993968;1.227547;0.819518;0.651770;0.694421
4250;1.031484;0.693693;0.692694;0.840398;0.686803
4260;0.467247;0.711485;0.795868;0.745120;0.812726
4270;0.812830;0.349982;0.620267;0.916282;0.895697
4280;0.792778;0.842525;0.750871;1.026800;0.991640
4290;0.695446;0.591918;0.837517;0.615166;0.645709
4300;0.808144;1.056321;0.783144;0.528683;0.859914
4310;0.949420;0.781721;0.657152;0.556480;0.465500
4320;0.663238;0.629056;0.793934;0.891758;0.735781
4330;0.720531;0.929581;0.706144;1.048061;0.513955
4340;0.631899;1.074747;0.823713;0.786847;0.745416
