Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1850;2.475178;2.659663;2.599198;2.548676;2.603030
1860;2.620234;2.712320;2.720554;2.705459;2.561366
1870;2.625412;2.623971;2.657936;2.549631;2.728166
1880;2.648134;2.685608;2.488848;2.477617;2.622643
1890;2.494658;2.564422;2.715707;2.568802;2.387946
1900;2.471553;2.526181;2.565620;2.655510;2.581338
1910;2.461025;2.385353;2.533728;2.437315;2.418319
1920;2.382096;2.413886;2.444378;2.499073;2.378451
1930;2.474634;2.628806;2.288175;2.545230;2.254753
1940;2.245167;2.648075;2.307023;2.445579;2.383745
1950;2.490464;2.531816;2.272751;2.402176;2.343706
1960;2.428103;2.304375;2.313615;2.364843;2.207387
1970;2.200170;2.476681;2.310887;2.375346;2.318342
1980;2.300745;2.306179;2.322265;2.293504;2.326346
1990;2.260619;2.304113;2.410174;2.451380;2.454686
2000;2.155839;2.307812;2.291166;2.261769;2.221473
2010;2.355104;2.333269;2.284323;2.231610;2.191640
2020;2.199543;2.305205;2.051433;2.073715;2.206491
2030;2.210281;2.287356;2.223616;2.245841;2.100102
2040;2.080905;2.371319;2.132982;2.219958;2.110351
2050;2.149366;2.028326;2.217422;2.090820;2.142500
2060;2.128508;2.032220;2.023173;2.161343;2.117306
2070;2.259861;2.194387;2.017117;2.176894;2.104301
2080;2.021884;2.145198;2.081131;2.087718;2.211978
2090;2.150594;2.028426;2.209576;2.051102;2.169422
2100;2.005930;2.120569;1.968035;2.148881;2.078804
2110;2.117384;2.105954;2.123887;1.982374;2.115607
2120;2.052874;1.996286;2.055326;2.123900;2.041143
2130;2.023856;2.108487;2.078204;1.919200;2.138667
2140;1.998441;2.079322;1.877428;2.047474;2.029781
2150;1.882042;1.934690;1.833801;2.019700;1.866967
2160;1.854410;1.957440;1.860904;1.851558;2.037285
2170;1.857881;1.968877;2.063319;1.914590;2.022010
2180;1.911262;1.997503;1.993259;1.950273;1.957547
2190;1.955896;1.964396;1.882078;1.792268;1.847677
2200;1.890786;1.733644;1.893944;2.086441;1.771794
2210;1.810519;1.894367;1.981328;1.848107;1.862437
2220;1.839036;1.768309;1.857444;1.838179;1.736023
2230;1.880000;1.800549;1.799484;1.780200;1.733572
2240;1.846818;1.630653;1.795098;1.800708;1.786094
2250;1.861639;1.753922;1.904471;1.718851;1.806183
2260;1.692353;1.787110;1.649595;1.751720;1.702455
2270;1.805045;1.794168;1.710350;1.793176;2.007262
2280;1.744400;1.697829;1.801437;1.769536;1.683492
2290;1.800871;1.619505;1.829365;1.742427;1.716395
2300;1.671733;1.583781;1.856190;1.692519;1.817856
2310;1.640761;1.815212;1.700843;1.747656;1.610643
2320;1.610836;1.730397;1.683995;1.673449;1.851126
2330;1.578663;1.534858;1.795935;1.580439;1.634980
2340;1.727978;1.599069;1.606926;1.615877;1.833399
2350;1.642103;1.762369;1.529582;1.542100;1.629904
2360;1.659627;1.568490;1.635550;1.625066;1.475341
2370;1.592348;1.590574;1.544748;1.646860;1.548492
2380;1.597001;1.561103;1.676270;1.688267;1.616691
2390;1.544962;1.594283;1.515946;1.561937;1.475895
2400;1.597255;1.460103;1.595142;1.686204;1.527702
2410;1.591255;1.563352;1.623391;1.458456;1.730355
2420;1.551221;1.481395;1.554565;1.653966;1.506544
2430;1.423547;1.505595;1.550103;1.438356;1.651130
2440;1.550959;1.586268;1.461991;1.482913;1.390897
2450;1.354472;1.367425;1.404864;1.336532;1.410335
2460;1.430372;1.417873;1.589156;1.381870;1.290213
2470;1.543422;1.394928;1.383245;1.469304;1.307056
2480;1.496988;1.522156;1.465702;1.293806;1.539601
2490;1.364602;1.415422;1.466997;1.375386;1.410477
2500;1.475505;1.387290;1.318716;1.317362;1.412118
2510;1.409010;1.419219;1.411210;1.332558;1.378492
2520;1.342927;1.220328;1.327127;1.473172;1.645105
2530;1.453461;1.313007;1.396832;1.379835;1.302723
2540;1.169349;1.296456;1.426726;1.214540;1.198257
2550;1.261054;1.275130;1.487276;1.454518;1.397744
2560;1.416224;1.356951;1.286987;1.243286;1.214575
2570;1.401559;1.355870;1.295519;1.217944;1.288204
2580;1.310110;1.279251;1.173517;1.220237;1.364428
2590;1.349115;1.303599;1.263991;1.230837;1.303523
2600;1.336712;1.296009;1.367840;1.352694;1.372852
2610;1.315056;1.348780;1.229021;1.335049;1.275830
2620;1.157683;1.150438;1.304538;1.290196;1.198288
2630;1.044610;1.193525;1.310359;1.281478;1.242077
2640;1.204514;1.194422;1.151114;1.195396;1.254843
2650;1.273842;1.255656;1.145589;1.260513;1.397618
2660;1.415459;1.135785;1.256189;1.098261;1.208331
2670;1.193801;1.097591;1.164803;1.202808;1.066627
2680;1.213005;1.233596;1.335718;1.083113;1.223473
2690;1.065482;1.189011;1.150409;1.142886;1.133727
2700;1.201147;1.120476;1.248555;1.145107;1.088355
2710;1.129782;1.172263;1.098277;1.057347;1.005234
2720;1.142267;1.068791;1.188409;1.294614;1.056324
2730;1.141093;1.157456;1.257363;1.039911;1.187311
2740;1.055131;1.125479;1.035387;1.012157;1.005475
2750;1.057990;1.201933;1.100376;1.136802;1.134235
2760;1.041043;1.189327;1.146287;1.141440;1.172848
2770;1.037364;0.987016;1.054496;1.070465;1.110600
2780;0.969780;1.055703;1.058556;1.098626;1.143316
2790;0.956185;1.200757;0.952911;1.020610;1.113078
2800;1.174994;1.129625;1.044078;1.106655;1.176565
2810;1.031176;1.019149;1.101085;1.076897;0.921031
2820;1.005711;1.132301;1.008063;1.087950;1.067080
2830;0.932967;1.104363;1.010842;1.084705;1.051035
2840;0.939765;0.933064;0.952494;0.983350;1.158025
2850;1.039363;1.096133;1.121451;1.111174;1.205492
2860;1.067251;1.067620;1.105263;0.996115;1.104111
2870;0.942599;1.050615;0.998855;0.996648;1.069603
2880;1.061471;0.971812;1.041351;0.991988;1.002879
2890;0.937083;0.876344;0.851791;0.953216;0.945213
2900;1.040997;0.988635;0.998203;1.046329;1.064754
2910;0.826744;0.947759;0.917498;1.016248;1.032754
2920;1.033701;0.918236;1.059309;0.897212;1.047998
2930;1.081372;0.915628;1.202280;0.975513;0.905813
2940;0.942945;1.060362;0.852976;0.900029;1.073608
2950;0.824334;0.877701;0.856609;0.854694;0.831838
2960;0.823317;0.853891;0.936349;0.859875;0.912272
2970;0.950628;0.946253;0.904180;0.927482;0.936747
2980;0.748326;0.922605;0.866735;0.886852;0.967646
2990;0.991129;0.843714;0.797694;0.958732;0.744033
3000;0.770886;0.871234;0.924413;0.974174;0.836444
3010;1.053236;0.856199;1.023911;0.989802;0.775206
3020;0.889579;0.901029;1.001862;0.931698;0.847945
3030;0.816749;0.797841;0.792570;0.819037;0.796356
3040;0.862091;0.900224;0.693632;1.016556;0.858475
3050;0.720142;0.801671;0.724221;0.829682;0.884874
3060;0.765817;0.697287;0.816219;0.864205;0.772370
3070;0.838568;0.794370;0.892323;0.852765;0.744408
3080;0.729355;0.884247;0.841945;0.813895;0.877279
3090;0.777038;0.809088;0.901978;0.942645;0.799855
3100;0.837659;0.799953;0.830630;0.795419;0.876453
3110;0.759467;0.723199;0.776124;0.891772;0.572239
3120;0.670323;0.895886;0.718823;0.784490;0.696788
3130;0.831661;0.873014;0.956789;0.789515;0.765285
3140;0.790678;0.807055;0.719069;0.712580;0.816709
3150;0.799352;0.722257;0.864485;0.850176;0.770401
3160;0.829321;0.823265;0.689462;0.858989;0.798014
3170;0.751147;0.659590;0.770207;0.780685;0.827956
3180;0.766212;0.573003;0.619418;0.887155;0.745847
3190;0.757958;0.727552;0.824204;0.754157;0.748901
3200;0.783167;0.657168;0.624112;0.697342;0.823000
3210;0.733136;0.846672;0.749294;0.708174;0.719218
3220;0.757079;0.739726;0.692682;0.605844;0.792884
3230;0.732830;0.745091;0.790855;0.688464;0.787912
3240;0.640092;0.739815;0.674734;0.676114;0.694597
3250;0.840440;0.599338;0.587999;0.829894;0.679797
3260;0.752682;0.749968;0.610438;0.649892;0.559675
3270;0.718354;0.551745;0.666405;0.413031;0.685384
3280;0.724112;0.785363;0.799149;0.686166;0.787852
3290;0.702653;0.644473;0.812914;0.689158;0.765045
3300;0.713289;0.797462;0.743539;0.664669;0.632470
3310;0.598290;0.642004;0.671506;0.690042;0.753440
3320;0.633154;0.557775;0.561212;0.595972;0.714971
3330;0.692000;0.598845;0.705571;0.629438;0.576629
3340;0.662811;0.655334;0.665930;0.505381;0.618697
3350;0.583260;0.571623;0.592786;0.734722;0.609094
3360;0.852648;0.547958;0.654731;0.624704;0.581011
3370;0.656484;0.728137;0.737274;0.476990;0.704078
3380;0.598538;0.670406;0.784207;0.690565;0.662898
3390;0.549892;0.562882;0.510837;0.696702;0.706346
3400;0.655995;0.567973;0.655845;0.739067;0.505159
3410;0.603858;0.571975;0.611675;0.618224;0.624965
3420;0.486985;0.787143;0.484240;0.743105;0.553166
3430;0.544219;0.681447;0.605094;0.639636;0.573109
3440;0.508514;0.540221;0.482788;0.578201;0.579238
3450;0.500302;0.514574;0.546050;0.685953;0.544948
3460;0.592433;0.639942;0.739445;0.570047;0.608404
3470;0.651048;0.509561;0.656666;0.555010;0.737818
3480;0.674582;0.567586;0.570332;0.612046;0.538121
3490;0.534493;0.520230;0.557862;0.580003;0.622191
3500;0.524713;0.603427;0.594483;0.509791;0.491106
3510;0.668045;0.641818;0.555951;0.725389;0.684167
3520;0.671494;0.528301;0.470488;0.608923;0.552731
3530;0.443304;0.527489;0.618039;0.660587;0.503964
3540;0.533365;0.674140;0.642364;0.476974;0.585443
3550;0.608877;0.619748;0.630964;0.347606;0.623123
3560;0.701281;0.466953;0.545660;0.548771;0.456296
3570;0.442631;0.445828;0.600089;0.479100;0.427553
3580;0.506052;0.500688;0.707586;0.568916;0.456204
3590;0.537819;0.556719;0.435578;0.462991;0.557050
3600;0.626476;0.625978;0.590575;0.551474;0.655636
3610;0.518260;0.447788;0.425767;0.561187;0.507562
3620;0.490707;0.542285;0.505570;0.480663;0.502293
3630;0.576034;0.418988;0.502519;0.605689;0.543565
3640;0.436119;0.456508;0.346730;0.403078;0.398030
3650;0.632867;0.474436;0.634623;0.341289;0.617103
3660;0.474525;0.472857;0.388452;0.557480;0.460812
3670;0.527250;0.461490;0.450090;0.669163;0.494589
3680;0.456919;0.531331;0.517138;0.588920;0.514496
3690;0.421478;0.441905;0.669786;0.442510;0.625121
3700;0.362772;0.454600;0.493887;0.569684;0.618499
3710;0.515222;0.371525;0.476466;0.361823;0.519688
3720;0.431551;0.397650;0.450212;0.356780;0.287236
3730;0.498615;0.338543;0.368420;0.486592;0.437751
3740;0.496512;0.273462;0.434213;0.460520;0.486372
3750;0.371026;0.447273;0.424459;0.559485;0.498052
3760;0.500667;0.458978;0.409835;0.638941;0.462845
3770;0.418600;0.442525;0.336794;0.465478;0.499516
3780;0.443962;0.422054;0.496910;0.544048;0.422327
3790;0.328583;0.340068;0.216506;0.540976;0.354179
3800;0.560190;0.309238;0.438564;0.442545;0.416665
3810;0.321310;0.411922;0.462320;0.422536;0.393589
3820;0.316176;0.425348;0.462950;0.291551;0.484656
3830;0.380835;0.409868;0.352938;0.430605;0.544634
3840;0.461214;0.452607;0.443968;0.485052;0.336833
3850;0.540710;0.334373;0.374155;0.470625;0.423221
3860;0.274688;0.474702;0.503428;0.278145;0.266658
3870;0.504786;0.443435;0.533861;0.465954;0.467323
3880;0.385485;0.386095;0.502875;0.401406;0.577900
3890;0.427937;0.607710;0.517163;0.393173;0.396664
3900;0.380275;0.486159;0.424093;0.296063;0.376691
3910;0.412084;0.493385;0.471266;0.465835;0.413970
3920;0.386497;0.414385;0.437957;0.427887;0.494241
3930;0.500179;0.359495;0.302563;0.305375;0.257902
3940;0.359246;0.541899;0.413085;0.516659;0.366307
3950;0.527322;0.378973;0.408982;0.214925;0.481604
3960;0.421395;0.363515;0.363641;0.438750;0.437531
3970;0.325989;0.493161;0.429996;0.351381;0.333548
3980;0.360943;0.572839;0.408945;0.509759;0.404666
3990;0.416858;0.534219;0.498501;0.435967;0.425174
4000;0.376350;0.196886;0.502983;0.302676;0.308504
4010;0.269582;0.244899;0.330230;0.368222;0.404659
4020;0.339841;0.525562;0.416662;0.318997;0.365749
4030;0.350586;0.261982;0.387731;0.394827;0.468827
4040;0.295275;0.306143;0.446927;0.367302;0.357705
4050;0.340375;0.439855;0.390410;0.373981;0.329964
4060;0.430029;0.363512;0.379656;0.246698;0.341679
4070;0.213204;0.407376;0.261295;0.485596;0.342667
4080;0.354685;0.412113;0.328743;0.360064;0.410814
4090;0.511521;0.396094;0.271186;0.243067;0.425602
4100;0.363344;0.362862;0.418181;0.458324;0.369418
4110;0.342845;0.449260;0.375376;0.328021;0.325316
4120;0.201423;0.371170;0.300734;0.385585;0.512326
4130;0.381202;0.465937;0.280762;0.425529;0.276422
4140;0.331045;0.337862;0.202091;0.398962;0.300302
4150;0.268937;0.532543;0.491570;0.238931;0.389940
4160;0.202978;0.492570;0.168157;0.428608;0.294630
4170;0.319372;0.302906;0.332210;0.451558;0.382151
4180;0.400294;0.227637;0.219566;0.527847;0.383660
4190;0.318768;0.393592;0.362052;0.157851;0.322735
4200;0.367584;0.353139;0.260638;0.393069;0.351468
4210;0.218888;0.410046;0.315663;0.370070;0.182594
4220;0.308116;0.399767;0.266359;0.348565;0.320706
4230;0.355702;0.421800;0.245178;0.358264;0.279860
4240;0.292690;0.168642;0.466194;0.280401;0.407224
4250;0.347562;0.274241;0.408163;0.429960;0.289504
4260;0.379879;0.402971;0.324768;0.297275;0.348934
4270;0.312661;0.333989;0.247650;0.308991;0.233768
4280;0.406075;0.333200;0.382427;0.382292;0.351499
4290;0.152799;0.479348;0.531459;0.321696;0.203551
4300;0.384056;0.379875;0.426174;0.321822;0.317663
4310;0.358434;0.369658;0.470298;0.263379;0.407731
4320;0.245112;0.273151;0.350067;0.392488;0.312065
4330;0.321050;0.304445;0.316213;0.365391;0.275709
4340;0.316408;0.334214;0.272827;0.331466;0.337596
4350;0.325102;0.297417;0.320719;0.179351;0.371824
4360;0.423151;0.349823;0.291939;0.449347;0.201695
4370;0.218431;0.304273;0.415362;0.229472;0.209715
4380;0.300995;0.330147;0.229738;0.416477;0.346829
4390;0.300930;0.190038;0.397804;0.308443;0.242020
4400;0.256917;0.384078;0.321203;0.281788;0.295848
4410;0.423174;0.348480;0.233847;0.141940;0.414903
4420;0.261563;0.355985;0.160376;0.375535;0.185667
4430;0.301035;0.184530;0.147018;0.331476;0.367978
4440;0.220051;0.250633;0.333555;0.343345;0.105381
4450;0.297420;0.221372;0.317127;0.414508;0.350829
4460;0.301055;0.356644;0.293586;0.102486;0.374400
4470;0.306127;0.230556;0.125381;0.242898;0.373416
4480;0.278126;0.273669;0.119743;0.296136;0.280335
4490;0.223166;0.219330;0.352647;0.211582;0.293119
