Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1690;4.126902;4.247501;4.040516;4.460084;4.472264
1700;4.422524;4.460432;4.392130;4.303719;4.437991
1710;4.533496;4.313306;4.200205;4.337592;4.100857
1720;4.239902;4.508548;4.119385;4.129481;4.533107
1730;4.115544;4.325744;4.214125;4.142038;3.993636
1740;4.484508;4.319976;4.217707;4.375129;3.886450
1750;3.970515;4.350879;3.961651;4.186205;3.988606
1760;4.431203;4.162648;4.063967;4.410579;3.905693
1770;4.013584;4.102573;3.962105;3.691194;4.074850
1780;4.023773;3.921168;3.791367;4.009487;3.909277
1790;3.756716;4.020092;3.825652;4.122925;4.127846
1800;4.293602;4.005629;3.876605;3.940397;3.712754
1810;4.101262;4.050791;4.013671;3.951657;4.029756
1820;3.869108;4.014036;3.780154;3.842573;3.604451
1830;3.435531;3.889547;3.663284;3.683147;3.801392
1840;3.620114;3.760130;3.933146;3.768368;3.553901
1850;3.787884;4.000096;3.814242;3.665709;3.677860
1860;3.761131;3.754716;3.394079;3.442997;3.552805
1870;3.726206;3.550762;3.614807;3.797415;3.761700
1880;3.524552;3.751634;3.687494;3.728361;3.671316
1890;3.965732;3.509534;3.674731;3.481957;3.598137
1900;3.537326;3.560529;3.586582;3.387705;3.414084
1910;3.375034;3.816197;3.674562;3.655073;3.481679
1920;3.844258;3.413864;3.561270;3.431446;3.460680
1930;3.378458;3.513822;3.422576;3.724400;3.349312
1940;3.573104;3.569593;3.454368;3.466834;3.340270
1950;3.296294;3.400250;3.534357;3.377339;3.628907
1960;3.348570;3.243275;3.531672;3.499063;3.429276
1970;3.335374;3.485981;3.198949;3.311973;3.185079
1980;3.114459;3.259849;3.263500;3.300987;3.185367
1990;3.494734;3.338966;3.215928;3.516780;3.217503
2000;3.181014;3.242704;3.566852;3.282673;3.344114
2010;3.405326;3.404725;3.030642;3.215574;3.223455
2020;3.045387;3.303698;3.099731;3.119200;3.062423
2030;3.091823;3.420305;3.143610;3.043482;3.021102
2040;3.203489;3.037337;3.062708;3.024029;3.038762
2050;3.245923;3.294813;2.852064;3.440995;3.112167
2060;2.950149;3.046041;2.954348;3.265934;3.243556
2070;3.120435;3.210472;3.131400;3.290959;2.993870
2080;2.921773;3.205472;2.917226;2.930637;3.003348
2090;2.827526;3.008458;3.108023;2.914523;3.152707
2100;2.858934;2.959202;3.186630;3.010595;3.137328
2110;3.047180;3.124588;2.753559;2.687739;3.071704
2120;3.031130;2.701947;3.087141;2.967214;2.810331
2130;2.750442;3.076412;3.011623;2.853943;3.029298
2140;2.744875;2.938788;2.787686;2.830328;2.655191
2150;2.935723;3.123120;3.002609;2.604643;3.049728
2160;2.885512;2.851024;3.018279;2.729804;2.420183
2170;2.638693;2.652162;2.694577;2.644409;2.869729
2180;2.994000;2.986740;2.872104;2.832462;2.724167
2190;2.927743;2.659156;3.105261;2.882303;2.697245
2200;2.872042;2.736278;2.786225;2.554760;2.814855
2210;2.523214;2.736961;2.688658;2.849650;2.762281
2220;2.620862;2.668129;2.802447;2.818181;2.563173
2230;2.860344;2.653146;2.709296;3.004745;2.753340
2240;2.750151;2.769400;2.495769;2.333723;2.685687
2250;2.538383;2.863939;2.692232;2.671374;2.628359
2260;2.580354;2.629344;2.759099;2.702026;2.446073
2270;2.384076;2.416372;2.448288;2.429664;2.446436
2280;2.846916;2.735606;2.660488;2.551795;2.319865
2290;2.288645;2.646991;2.553733;2.777838;2.474584
2300;2.470197;2.785281;2.529928;2.337734;2.533619
2310;2.590955;2.626993;2.451927;2.438150;2.441270
2320;2.180143;2.449999;2.522004;2.621770;2.441165
2330;2.067130;2.564977;2.301837;2.279460;2.423226
2340;2.681577;2.652695;2.582795;2.123732;2.245884
2350;2.236999;2.326119;2.547220;2.393106;2.018869
2360;2.457900;2.325264;2.234276;2.647547;2.323913
2370;2.313039;2.501280;2.409787;2.159229;2.277111
2380;2.431742;2.300099;2.343751;2.459733;2.302560
2390;2.345169;2.647725;2.438911;2.309701;2.240179
2400;2.368717;2.243479;2.428022;2.610789;2.409766
2410;2.134556;2.133517;2.286365;2.477762;2.231856
2420;2.378992;2.202829;1.966683;2.174297;2.466231
2430;2.335565;1.985326;2.063019;2.131289;2.296373
2440;2.351634;2.222220;2.222041;2.268248;2.387251
2450;2.255918;2.234384;2.343477;2.250561;1.854793
2460;2.170898;2.280769;2.007077;2.474843;2.164884
2470;2.051915;2.316237;2.208887;1.945623;2.356048
2480;1.920181;2.009703;2.538536;1.941922;2.151850
