MgCl EDTA 21Feb GroupA_X,MgCl EDTA 21Feb GroupA_Y
14.616667,9.79815
14.633333,9.79806
14.65,9.79785
14.666667,9.7978
14.683333,9.79785
14.7,9.7979
14.716667,9.79779
14.733333,9.79768
14.75,9.7978
14.766667,9.79807
14.783333,9.79802
14.8,9.79801
14.816667,9.79808
14.833333,9.7982
14.85,9.79842
14.866667,9.79852
14.883333,9.79847
14.9,9.79846
14.916667,9.7986
14.933333,9.7987
14.95,9.79896
14.966667,9.79909
14.983333,9.79905
15,9.79907
15.016667,9.79911
15.033333,9.79892
15.05,9.79887
15.066667,9.79869
15.083333,9.79852
15.1,9.7988
15.116667,9.79874
15.133333,9.7986
15.15,9.7985
15.166667,9.79871
15.183333,9.79865
15.2,9.79871
15.216667,9.79895
15.233333,9.79894
15.25,9.79905
15.266667,9.79898
15.283333,9.79897
15.3,9.79907
15.316667,9.79918
15.333333,9.79939
15.35,9.79948
15.366667,9.79961
15.383333,9.79963
15.4,9.79943
15.416667,9.79925
15.433333,9.79933
15.45,9.79955
15.466667,9.79963
15.483333,9.79954
15.5,9.79953
15.516667,9.79959
15.533333,9.79953
15.55,9.79956
15.566667,9.79951
15.583333,9.79937
15.6,9.79958
15.616667,9.7996
15.633333,9.79962
15.65,9.79963
15.666667,9.79946
15.683333,9.79939
15.7,9.7993
15.716667,9.7993
15.733333,9.79945
15.75,9.79934
15.766667,9.79909
15.783333,9.79888
15.8,9.7989
15.816667,9.79888
15.833333,9.79885
15.85,9.79864
15.866667,9.79844
15.883333,9.79834
15.9,9.79808
15.916667,9.798
15.933333,9.79791
15.95,9.79765
15.966667,9.7979
15.983333,9.79819
16,9.79744
16.016667,9.79647
16.033333,9.79766
16.05,9.79804
16.066667,9.79906
16.083333,9.81592
16.1,9.85245
16.116667,9.89827
16.133333,9.93032
16.15,9.95018
16.166667,9.96078
16.183333,9.96371
16.2,9.95812
16.216667,9.94716
16.233333,9.93569
16.25,9.92715
16.266667,9.91738
16.283333,9.90787
16.3,9.90026
16.316667,9.89171
16.333333,9.88262
16.35,9.87495
16.366667,9.85983
16.383333,9.85431
16.4,9.84942
16.416667,9.84435
16.433333,9.84005
16.45,9.83112
16.466667,9.82588
16.483333,9.82228
16.5,9.82108
16.516667,9.81872
16.533333,9.81689
16.55,9.81353
16.566667,9.80985
16.583333,9.80814
16.6,9.8069
16.616667,9.8051
16.633333,9.8037
16.65,9.80198
16.666667,9.80093
16.683333,9.80043
16.7,9.79999
16.716667,9.79921
16.733333,9.79882
16.75,9.79867
16.766667,9.79816
16.783333,9.79744
16.8,9.79666
16.816667,9.79629
16.833333,9.79592
16.85,9.79559
16.866667,9.79549
16.883333,9.79537
16.9,9.79518
16.916667,9.79484
16.933333,9.795
16.95,9.79528
16.966667,9.79513
16.983333,9.795
17,9.79481
17.016667,9.79492
17.033333,9.79479
17.05,9.79465
17.066667,9.79459
17.083333,9.79453
17.1,9.79481
17.116667,9.79507
17.133333,9.79477
17.15,9.79433
17.166667,9.7942
17.183333,9.79405
17.2,9.79376
17.216667,9.79364
