1mM Cacl2 0.1mM EDTA Group B 21723_X,1mM Cacl2 0.1mM EDTA Group B 21723_Y
13.733333,9.30792
13.75,9.34371
13.766667,9.38003
13.783333,9.41701
13.8,9.44916
13.816667,9.47886
13.833333,9.50515
13.85,9.52847
13.866667,9.55399
13.883333,9.57651
13.9,9.59478
13.916667,9.6132
13.933333,9.63369
13.95,9.64601
13.966667,9.65721
13.983333,9.67051
14,9.68141
14.016667,9.68723
14.033333,9.69446
14.05,9.69915
14.066667,9.70402
14.083333,9.71041
14.1,9.71441
14.116667,9.71779
14.133333,9.72161
14.15,9.72528
14.166667,9.72834
14.183333,9.73039
14.2,9.73208
14.216667,9.73383
14.233333,9.73558
14.25,9.7373
14.266667,9.73893
14.283333,9.74033
14.3,9.74202
14.316667,9.7431
14.333333,9.74403
14.35,9.74467
14.366667,9.74554
14.383333,9.7465
14.4,9.74731
14.416667,9.74814
14.433333,9.74892
14.45,9.74965
14.466667,9.75026
14.483333,9.75078
14.5,9.75137
14.516667,9.75179
14.533333,9.7522
14.55,9.75259
14.566667,9.753
14.583333,9.75343
14.6,9.75397
14.616667,9.75431
14.633333,9.75474
14.65,9.75515
14.666667,9.75554
14.683333,9.75587
14.7,9.75614
14.716667,9.75635
14.733333,9.75639
14.75,9.75647
14.766667,9.75664
14.783333,9.75663
14.8,9.75662
14.816667,9.75659
14.833333,9.75654
14.85,9.75658
14.866667,9.75656
14.883333,9.75653
14.9,9.75655
14.916667,9.75679
14.933333,9.7568
14.95,9.75682
14.966667,9.75711
14.983333,9.75711
15,9.75703
15.016667,9.75684
15.033333,9.75662
15.05,9.75654
15.066667,9.75647
15.083333,9.7564
15.1,9.75614
15.116667,9.75605
15.133333,9.75621
15.15,9.75642
15.166667,9.75639
15.183333,9.75638
15.2,9.75638
15.216667,9.75646
15.233333,9.75646
15.25,9.75626
15.266667,9.75599
15.283333,9.75577
15.3,9.75547
15.316667,9.75528
15.333333,9.75536
15.35,9.75539
15.366667,9.75546
15.383333,9.7556
15.4,9.75556
15.416667,9.75555
15.433333,9.75578
15.45,9.7558
15.466667,9.75573
15.483333,9.75564
15.5,9.75546
15.516667,9.7552
15.533333,9.75506
15.55,9.75499
15.566667,9.7549
15.583333,9.75485
15.6,9.75482
15.616667,9.75476
15.633333,9.75482
15.65,9.75493
15.666667,9.75481
15.683333,9.7547
15.7,9.75443
15.716667,9.75417
15.733333,9.75403
15.75,9.75387
15.766667,9.75368
15.783333,9.75349
15.8,9.75338
15.816667,9.75346
15.833333,9.75343
15.85,9.75363
15.866667,9.75364
15.883333,9.75344
15.9,9.75313
15.916667,9.75302
15.933333,9.75289
15.95,9.75326
15.966667,9.7534
15.983333,9.75417
16,9.75458
16.016667,9.75661
16.033333,9.75776
16.05,9.72607
16.066667,9.65024
16.083333,9.53673
16.1,9.42007
16.116667,9.33979
16.133333,9.29592
16.15,9.27762
16.166667,9.27897
16.183333,9.29512
16.2,9.31465
16.216667,9.33607
16.233333,9.35577
16.25,9.37324
16.266667,9.39226
16.283333,9.40868
16.3,9.42787
16.316667,9.44675
16.333333,9.46966
16.35,9.48686
16.366667,9.51038
16.383333,9.53244
16.4,9.55755
16.416667,9.57887
16.433333,9.59238
16.45,9.61093
16.466667,9.6265
16.483333,9.63904
16.5,9.65224
16.516667,9.66282
16.533333,9.67025
16.55,9.6803
16.566667,9.68871
16.583333,9.69681
16.6,9.70185
16.616667,9.70581
16.633333,9.70952
16.65,9.71326
16.666667,9.7162
16.683333,9.71932
16.7,9.72247
16.716667,9.72562
16.733333,9.72872
16.75,9.73127
16.766667,9.7337
16.783333,9.736
16.8,9.73731
16.816667,9.73855
16.833333,9.73936
16.85,9.74022
16.866667,9.74088
16.883333,9.74147
16.9,9.7425
16.916667,9.74364
16.933333,9.74462
16.95,9.74526
16.966667,9.74579
16.983333,9.74619
17,9.74638
17.016667,9.74682
17.033333,9.74738
17.05,9.74766
17.066667,9.74793
17.083333,9.74821
17.1,9.74852
17.116667,9.74893
17.133333,9.7493
17.15,9.74936
17.166667,9.74941
17.183333,9.7496
17.2,9.74977
17.216667,9.74982
17.233333,9.75015
17.25,9.75036
17.266667,9.75038
17.283333,9.75036
17.3,9.75043
17.316667,9.7504
17.333333,9.75035
17.35,9.7503
17.366667,9.75027
17.383333,9.75022
17.4,9.75035
17.416667,9.75066
17.433333,9.75072
17.45,9.7507
17.466667,9.7508
17.483333,9.75079
17.5,9.75072
17.516667,9.75089
17.533333,9.75115
17.55,9.75142
17.566667,9.75143
17.583333,9.75125
17.6,9.75109
17.616667,9.75115
17.633333,9.75113
17.65,9.7512
17.666667,9.75132
17.683333,9.75141
17.7,9.75144
17.716667,9.75131
17.733333,9.75105
17.75,9.75072
17.766667,9.75057
17.783333,9.75056
17.8,9.75042
17.816667,9.75039
17.833333,9.75055
17.85,9.75058
17.866667,9.7505
17.883333,9.75044
17.9,9.75038
17.916667,9.7505
17.933333,9.75055
17.95,9.75028
17.966667,9.7502
17.983333,9.75008
18,9.74989
18.016667,9.74972
18.033333,9.74944
18.05,9.74929
18.066667,9.74931
18.083333,9.74936
18.1,9.74944
18.116667,9.7494
18.133333,9.74933
18.15,9.74933
18.166667,9.7492
18.183333,9.74895
18.2,9.74868
18.216667,9.74843
18.233333,9.74823
18.25,9.74823
18.266667,9.74811
18.283333,9.7481
18.3,9.74802
18.316667,9.748
18.333333,9.74818
18.35,9.74841
18.366667,9.74881
18.383333,9.74905
18.4,9.74889
18.416667,9.74876
18.433333,9.74879
18.45,9.74918
18.466667,9.74916
18.483333,9.74973
18.5,9.75133
18.516667,9.75318
18.533333,9.75343
18.55,9.7396
18.566667,9.69467
18.583333,9.61928
18.6,9.53538
18.616667,9.46984
18.633333,9.43077
18.65,9.41375
18.666667,9.40927
18.683333,9.41474
18.7,9.42545
18.716667,9.43568
18.733333,9.44391
18.75,9.44281
18.766667,9.44586
18.783333,9.45239
18.8,9.4609
18.816667,9.46948
18.833333,9.48343
18.85,9.49384
18.866667,9.50652
18.883333,9.52611
18.9,9.54222
18.916667,9.56006
18.933333,9.57548
18.95,9.59004
18.966667,9.60468
18.983333,9.61542
19,9.62608
19.016667,9.64048
19.033333,9.65234
19.05,9.65863
19.066667,9.6658
19.083333,9.6735
19.1,9.68442
19.116667,9.68906
19.133333,9.69345
19.15,9.69715
19.166667,9.70112
19.183333,9.70507
19.2,9.70909
19.216667,9.71248
19.233333,9.71619
19.25,9.71914
19.266667,9.7213
19.283333,9.72349
19.3,9.72549
19.316667,9.72734
19.333333,9.7294
19.35,9.7318
19.366667,9.73311
19.383333,9.73403
19.4,9.73508
19.416667,9.73626
19.433333,9.7372
19.45,9.73809
19.466667,9.73904
19.483333,9.73981
19.5,9.74047
19.516667,9.74087
19.533333,9.74127
19.55,9.74156
19.566667,9.74177
19.583333,9.74202
19.6,9.7422
19.616667,9.74237
19.633333,9.74238
19.65,9.74249
19.666667,9.74282
19.683333,9.74296
19.7,9.74328
19.716667,9.74349
19.733333,9.74363
19.75,9.74367
19.766667,9.74366
19.783333,9.74374
19.8,9.74357
19.816667,9.74347
19.833333,9.74352
19.85,9.74376
19.866667,9.74382
19.883333,9.74397
19.9,9.74412
19.916667,9.74424
19.933333,9.7444
19.95,9.74429
19.966667,9.74408
19.983333,9.74387
20,9.74384
20.016667,9.74372
20.033333,9.74362
20.05,9.74358
20.066667,9.74371
20.083333,9.74385
20.1,9.74388
20.116667,9.74385
20.133333,9.74385
20.15,9.74375
20.166667,9.74368
20.183333,9.74367
20.2,9.74381
20.216667,9.74367
20.233333,9.74361
20.25,9.74355
20.266667,9.74354
20.283333,9.74357
20.3,9.74361
20.316667,9.74372
20.333333,9.74384
20.35,9.74409
20.366667,9.74408
20.383333,9.74404
20.4,9.74399
20.416667,9.74399
20.433333,9.74413
20.45,9.74417
20.466667,9.74437
20.483333,9.74464
20.5,9.74481
20.516667,9.74472
20.533333,9.74455
20.55,9.74462
20.566667,9.7448
20.583333,9.74479
20.6,9.74461
20.616667,9.74447
20.633333,9.74448
20.65,9.74437
20.666667,9.74427
20.683333,9.74422
20.7,9.74429
20.716667,9.7442
20.733333,9.74409
20.75,9.74409
20.766667,9.74427
20.783333,9.74425
20.8,9.74401
20.816667,9.74366
20.833333,9.74342
20.85,9.74348
20.866667,9.7436
20.883333,9.74345
20.9,9.7435
20.916667,9.74378
20.933333,9.74383
20.95,9.74359
20.966667,9.74336
20.983333,9.74191
21,9.7417
21.016667,9.74295
21.033333,9.74516
21.05,9.73407
21.066667,9.6938
21.083333,9.64951
21.1,9.60151
21.116667,9.56832
21.133333,9.55488
21.15,9.54989
21.166667,9.55416
21.183333,9.5593
21.2,9.56525
21.216667,9.5679
21.233333,9.56421
21.25,9.56236
21.266667,9.56098
21.283333,9.56057
21.3,9.56152
21.316667,9.56967
21.333333,9.57902
21.35,9.58892
21.366667,9.60142
21.383333,9.61105
21.4,9.62173
21.416667,9.63118
21.433333,9.64358
21.45,9.6471
21.466667,9.65418
21.483333,9.65822
21.5,9.66392
21.516667,9.66882
21.533333,9.67517
21.55,9.6796
21.566667,9.68425
21.583333,9.68859
21.6,9.69472
21.616667,9.70001
21.633333,9.7037
21.65,9.70605
21.666667,9.70823
21.683333,9.71036
21.7,9.71241
21.716667,9.71463
21.733333,9.71679
21.75,9.71885
21.766667,9.72059
21.783333,9.72231
21.8,9.72391
21.816667,9.72527
21.833333,9.72635
21.85,9.72746
21.866667,9.72867
